display_name_input,display_name_matched,source_id,issn,works_count,host_org
ACTA ORNITHOLOGICA,Acta Ornithologica,https://openalex.org/S45405298,0001-6454|1734-8471,988,Polish Academy of Sciences
ACTA ORTHOPAEDICA,Acta Orthopaedica,https://openalex.org/S58634475,1745-3674|1745-3682,2588,Taylor & Francis
ACTA ORTHOPAEDICA BELGICA,Acta Orthopaedica Belgica,https://openalex.org/S141543466,0001-6462,447,Acta Medica Belgica
ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,Acta Orthopaedica et Traumatologica Turcica,https://openalex.org/S104441155,1017-995X|2589-1294,2279,Elsevier BV
ACTA OTO-LARYNGOLOGICA,Acta Oto-Laryngologica,https://openalex.org/S198335345,0001-6489|1651-2251,19793,Taylor & Francis
ACTA OTORHINOLARYNGOLOGICA ITALICA,Acta Otorhinolaryngologica Italica,https://openalex.org/S202036630,0392-100X|1827-675X,666,Pacini Editore Medicina
ACTA PAEDIATRICA,Acta Paediatrica,https://openalex.org/S178469169,0803-5253|1651-2227,30157,Wiley
ACTA PALAEONTOLOGICA POLONICA,Acta Palaeontologica Polonica,https://openalex.org/S63318184,0567-7920|1732-2421,2099,Institute of Paleobiology
ACTA PARASITOLOGICA,Acta Parasitologica,https://openalex.org/S120551135,1230-2821|1896-1851,2299,Springer Science+Business Media
ACTA PAULISTA DE ENFERMAGEM,Acta Paulista de Enfermagem,https://openalex.org/S64820383,0103-2100|1982-0194,2756,Universidade Federal de São Paulo
ACTA PETROLOGICA SINICA,Acta Petrologica Sinica,https://openalex.org/S158389693,1000-0569|2095-8927,5809,Science Press
ACTA PHARMACEUTICA,Acta Pharmaceutica,https://openalex.org/S6622299,1330-0075|1846-9558,760,De Gruyter Open
ACTA PHARMACEUTICA SINICA B,Acta Pharmaceutica Sinica B,https://openalex.org/S2736993989,2211-3835|2211-3843,1814,Elsevier BV
ACTA PHARMACOLOGICA SINICA,Acta Pharmacologica Sinica,https://openalex.org/S4210186974,1671-4083|1745-7254,3773,Springer Nature
ACTA PHYSICA POLONICA A,Acta Physica Polonica A,https://openalex.org/S63733671,0587-4246|1898-794X,12744,Polish Academy of Sciences
ACTA PHYSICA POLONICA B,Acta Physica Polonica B,https://openalex.org/S131967590,0587-4254|1509-5770,4968,Jagiellonian University
ACTA PHYSICA SINICA,Acta Physica Sinica,https://openalex.org/S950076683,1000-3290,32600,Science Press
ACTA PHYSICO-CHIMICA SINICA,Acta Physico-Chimica Sinica,https://openalex.org/S138757394,1000-6818,11528,Peking University Press
ACTA PHYSIOLOGIAE PLANTARUM,Acta Physiologiae Plantarum,https://openalex.org/S194146006,0137-5881|1861-1664,5380,Springer Science+Business Media
ACTA PHYSIOLOGICA,Acta Physiologica,https://openalex.org/S204890612,1748-1708|1748-1716,3468,Wiley
ACTA PHYTOTAXONOMICA ET GEOBOTANICA,Acta Phytotaxonomica et Geobotanica,https://openalex.org/S4306500486,,275,
ACTA POLYMERICA SINICA,Acta Polymerica Sinica,https://openalex.org/S151176162,1000-3304,5540,Science Press
ACTA POLYTECHNICA HUNGARICA,Acta Polytechnica Hungarica,https://openalex.org/S160800360,1785-8860|2064-2687,1060,Óbuda University
ACTA PROTOZOOLOGICA,Acta Protozoologica,https://openalex.org/S176982244,0065-1583|1689-0027,1480,Wydawnictwo Uniwersytetu Jagiellońskiego
ACTA PSYCHIATRICA SCANDINAVICA,Acta Psychiatrica Scandinavica,https://openalex.org/S199498439,0001-690X|1600-0447,16588,Wiley
ACTA RADIOLOGICA,Acta Radiologica,https://openalex.org/S160113820,0284-1851|1600-0455,18275,SAGE Publishing
ACTA SCIENTIAE VETERINARIAE,ACTA SCIENTIAE VETERINARIAE,https://openalex.org/S167064729,1678-0345|1679-9216,2863,Federal University of Rio Grande do Sul
ACTA SOCIETATIS BOTANICORUM POLONIAE,Acta Societatis Botanicorum Poloniae,https://openalex.org/S100464430,0001-6977|2083-9480,3927,Polish Botanical Society
ACTA TROPICA,Acta Tropica,https://openalex.org/S190456265,0001-706X|1873-6254,7061,Elsevier BV
ACTA VETERINARIA BRNO,Acta Veterinaria Brno,https://openalex.org/S149074594,0001-7213|1801-7576,2526,"University of Veterinary and Pharmaceutical Sciences, Brno"
ACTA VETERINARIA HUNGARICA,Acta Veterinaria Hungarica,https://openalex.org/S27908409,0236-6290|1588-2705,1358,Akadémiai Kiadó
ACTA VETERINARIA SCANDINAVICA,Acta veterinaria Scandinavica,https://openalex.org/S102804277,0044-605X|1751-0147,3876,BioMed Central
ACTA VIROLOGICA,Acta Virologica,https://openalex.org/S203131252,0001-723X|1336-2305,1085,AEPress
ACTA ZOOLOGICA,Acta Zoologica,https://openalex.org/S144479944,1463-6395|0001-7272,2608,Wiley
ACTA ZOOLOGICA BULGARICA,Acta Zoologica Bulgarica,https://openalex.org/S81028643,0324-0770,226,Institute of Biodiversity and Ecosystem Research
ACTUATORS,Actuators,https://openalex.org/S2736557103,2076-0825,1313,Multidisciplinary Digital Publishing Institute
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,Acupuncture & Electro-Therapeutics Research,https://openalex.org/S4210194715,0360-1293|2167-9010,887,Cognizant
ACUPUNCTURE IN MEDICINE,Acupuncture in Medicine,https://openalex.org/S157213201,0964-5284|1759-9873,2323,SAGE Publishing
